"ID","Number of references","Number of references outside selected database","Number of self-cited references","List ID of references","Title","Authors","Source title","Publisher","Year","Link"
"4070","79","60","19","1838,2520,3308,3993,3126,3132,3747,3995,3307,1788,682,3125,3378,2331,2595,2318,2427,1003,4069","Solidification of PCM with nano powders inside a heat exchanger","Hajizadeh M.R., Selimefendigil F., Muhammad T., Ramzan M., Babazadeh H., Li Z.","Journal of Molecular Liquids","Elsevier B.V.","2020","10.1016/j.molliq.2020.112892"
"4071","60","60","0","","Solution Bounds and Nearly Exact Solutions for 3D Nonlinear Problems of Large Deformation of Solids Using S-Fem","Wu S.W., Li M., Jiang C., Liu G.R.","International Journal of Computational Methods","World Scientific Publishing Co. Pte Ltd","2020","10.1142/S021987621845007X"
"4072","59","58","1","798","Solution of ruin probability for continuous time model based on block trigonometric exponential neural network","Chen Y., Yi C., Xie X., Hou M., Cheng Y.","Symmetry","MDPI AG","2020","10.3390/SYM12060876"
"4073","21","21","0","","Solving heat equations under convection boundary conditions by a high-performance space-time boundary shape functions method","Liu C.-S., Qiu L., Lin J.","Numerical Heat Transfer, Part B: Fundamentals","Taylor and Francis Ltd.","2020","10.1080/10407790.2020.1713623"
"4074","37","37","0","","Solving the incompressible fluid flows by a high-order mesh-free approach","Rammane M., Mesmoudi S., Tri A., Braikat B., Damil N.","International Journal for Numerical Methods in Fluids","John Wiley and Sons Ltd","2020","10.1002/fld.4789"
"4075","63","59","4","2434,1851,1601,4823","Solving the nonlinear boundary layer flow equations with pressure gradient and radiation","Xenos M.A., Petropoulou E.N., Siokis A., Mahabaleshwar U.S.","Symmetry","MDPI AG","2020","10.3390/SYM12050710"
"4076","39","36","2","179,4638,179","Solving two-dimensional linear partial differential equations based on Chebyshev neural network with extreme learning machine algorithm","Liu M., Hou M., Wang J., Cheng Y.","Engineering Computations (Swansea, Wales)","Emerald Group Publishing Ltd.","2020","10.1108/EC-08-2019-0387"
"4077","15","15","0","","Some Hermite–Jensen–Mercer type inequalities for k-Caputo-fractional derivatives and related results","Zhao S., Butt S.I., Nazeer W., Nasir J., Umar M., Liu Y.","Advances in Difference Equations","Springer","2020","10.1186/s13662-020-02693-y"
"4078","112","110","2","2358,25","Some advances in high-performance finite element methods","Cen S., Wu C.J., Li Z., Shang Y., Li C.","Engineering Computations (Swansea, Wales)","Emerald Group Publishing Ltd.","2019","10.1108/EC-10-2018-0479"
"4079","55","54","1","4650","Some energy issues for a nanoscale electrostatic potential well in saline solutions","Guo J., Lei Z., Wang F., Xu J., Xu S.","Chemosensors","MDPI Multidisciplinary Digital Publishing Institute","2020","10.3390/CHEMOSENSORS8030050"
"4080","118","118","0","","Something more than graphene-Futuristic two-dimensional nanomaterials","Bhatia I.S., Randhawa D.K.K.","Current Science","Indian Academy of Sciences","2020","10.18520/cs/v118/i11/1656-1671"
"4081","31","29","2","2208,1752","Sound Radiation Analysis of Functionally Graded Porous Plates with Arbitrary Boundary Conditions and Resting on Elastic Foundation","Hu Z., Zhou K., Chen Y.","International Journal of Structural Stability and Dynamics","World Scientific Publishing Co. Pte Ltd","2020","10.1142/S0219455420500686"
"4082","27","27","0","","Sound transmission from stiffened double laminated composite plates","Fu T., Chen Z., Yu D., Wang X., Lu W.","Wave Motion","Elsevier B.V.","2017","10.1016/j.wavemoti.2017.04.007"
"4083","25","25","0","","Sparse POD modal subsets for reduced-order nonlinear explicit dynamics","Phalippou P., Bouabdallah S., Breitkopf P., Villon P., Zarroug M.","International Journal for Numerical Methods in Engineering","John Wiley and Sons Ltd","2020","10.1002/nme.6243"
"4084","109","108","1","1508","Spatial prediction of landslide susceptibility using hybrid support vector regression (SVR) and the adaptive neuro-fuzzy inference system (ANFIS) with various metaheuristic algorithms","Panahi M., Gayen A., Pourghasemi H.R., Rezaie F., Lee S.","Science of the Total Environment","Elsevier B.V.","2020","10.1016/j.scitotenv.2020.139937"
"4085","50","50","0","","Spatiotemporal Modeling for Nonlinear Distributed Thermal Processes Based on KL Decomposition, MLP and LSTM Network","Fan Y., Xu K., Wu H., Zheng Y., Tao B.","IEEE Access","Institute of Electrical and Electronics Engineers Inc.","2020","10.1109/ACCESS.2020.2970836"
"4086","25","25","0","","Special issue on symmetry and fluid mechanics","Ellahi R.","Symmetry","MDPI AG","2020","10.3390/sym12020281"
"4087","27","27","0","","Special issue “intelligent control in energy systems”","Dounis A.","Energies","MDPI AG","2019","10.3390/en12153017"
"4088","40","40","0","","Spectral response characteristics of Eu3+ doped YAG-Al2O3 composite nanofibers reinforced aluminum matrix composites","He L., Pan L., Li W., Dong Q., Sun W.","Optical Materials","Elsevier B.V.","2020","10.1016/j.optmat.2020.109845"
"4089","72","72","0","","Spectral variational multiscale model for transient dynamics of phononic crystals and acoustic metamaterials","Hu R., Oskay C.","Computer Methods in Applied Mechanics and Engineering","Elsevier B.V.","2020","10.1016/j.cma.2019.112761"
"4090","25","25","0","","Splitting basis techniques in cloth simulation by isogeometric analysis","Shin S.-G., Lee C.-O.","Computer Methods in Applied Mechanics and Engineering","Elsevier B.V.","2020","10.1016/j.cma.2020.112871"
"4091","51","46","5","1003,4003,2318,2331,3995","Squeezing flow of convectively heated fluid in porous medium with binary chemical reaction and activation energy","Ahmad S., Farooq M., Anjum A., Mir N.A.","Advances in Mechanical Engineering","SAGE Publications Inc.","2019","10.1177/1687814019883774"
"4092","64","63","1","2318","Squeezing flow of nanofluids of Cu–water and kerosene between two parallel plates by Gegenbauer Wavelet Collocation method","Çelik İ.","Engineering with Computers","Springer London","2019","10.1007/s00366-019-00821-1"
"4093","50","49","1","3212","Stability Analysis of Shear Deformable Trapezoidal Composite Plates","Kumar A., Singha M.K., Tiwari V.","International Journal of Structural Stability and Dynamics","World Scientific Publishing Co. Pte Ltd","2019","10.1142/S0219455419710044"
"4094","38","38","0","","Stability Analysis of Smoothed Finite Element Methods with Explicit Method for Transient Heat Transfer Problems","Rong X., Niu R., Liu G.","International Journal of Computational Methods","World Scientific Publishing Co. Pte Ltd","2020","10.1142/S0219876218450056"
"4095","54","51","3","4237,2726,3772","Stability analysis and dual solutions of micropolar nanofluid over the inclined stretching/shrinking surface with convective boundary condition","Lund L.A., Omar Z., Khan U., Khan I., Baleanu D., Nisar K.S.","Symmetry","MDPI AG","2020","10.3390/sym12010074"
"4096","78","71","7","1842,1183,1403,4231,3772,4153,910","Stability analysis and multiple solution of Cu-Al2O3/H2O nanofluid contains hybrid nanomaterials over a shrinking surface in the presence of viscous dissipation","Lund L.A., Omar Z., Khan I., Seikh A.H., Sherif E.-S.M., Nisar K.S.","Journal of Materials Research and Technology","Elsevier Editora Ltda","2020","10.1016/j.jmrt.2019.10.071"
"4097","23","22","1","910","Stability analysis of Cu−C6H9NaO7 and Ag−C6H9NaO7 nanofluids with effect of viscous dissipation over stretching and shrinking surfaces using a single phase model","Dero S., Rohni A.M., Saaban A.","Heliyon","Elsevier Ltd","2020","10.1016/j.heliyon.2020.e03510"
"4098","44","44","0","","Stability analysis of Darcy-Forchheimer flow of casson type nanofluid over an exponential sheet: Investigation of critical points","Lund L.A., Omar Z., Khan I., Raza J., Bakouri M., Tlili I.","Symmetry","MDPI AG","2019","10.3390/sym11030412"
"4099","57","56","1","4729","Stability analysis of flawed rock slope by using virtual-bond-based general particles dynamics","Li Z., Shou Y., Zhang X., Chen L., Berto F.","Theoretical and Applied Fracture Mechanics","Elsevier B.V.","2020","10.1016/j.tafmec.2020.102631"
"4100","43","42","1","3150","Stability analysis of multi-layered plates subjected to partial edge compression with and without initial imperfection","Tran L.V., Kim S.-E.","Composite Structures","Elsevier Ltd","2018","10.1016/j.compstruct.2018.08.065"
"4101","73","65","8","1720,1828,1089,1752,2191,863,4813,4569","Stability analysis of multifunctional smart sandwich plates with graphene nanocomposite and porous layers","Moradi-Dastjerdi R., Behdinan K.","International Journal of Mechanical Sciences","Elsevier Ltd","2020","10.1016/j.ijmecsci.2019.105283"
"4102","95","91","4","1551,3092,4601,4162","Stability analysis of shotcrete supported crown of NATM tunnels with discontinuity layout optimization","Zhang Y., Zhuang X., Lackner R.","International Journal for Numerical and Analytical Methods in Geomechanics","John Wiley and Sons Ltd","2018","10.1002/nag.2775"
"4103","41","33","8","1833,313,2813,4104,220,844,221,505","Stability analysis of slopes using the vector sum numerical manifold method","Yang Y., Wu W., Zheng H.","Bulletin of Engineering Geology and the Environment","Springer","2020","10.1007/s10064-020-01903-x"
"4104","62","59","3","505,757,253","Stability analysis of soil-rock-mixture slopes using the numerical manifold method","Yang Y., Sun G., Zheng H.","Engineering Analysis with Boundary Elements","Elsevier Ltd","2019","10.1016/j.enganabound.2019.09.020"
"4105","26","21","1","889,4433,3521,4443,955","Stability analysis of thermal-lag Stirling engines","Yang H.-S., Cheng C.-H.","Applied Thermal Engineering","Elsevier Ltd","2016","10.1016/j.applthermaleng.2016.06.009"
"4106","59","55","4","3321,4834,1490,2701","Stability and accuracy improvement for explicit formulation of time domain acoustic problems","Li E., He Z.C.","Engineering Analysis with Boundary Elements","Elsevier Ltd","2017","10.1016/j.enganabound.2017.07.014"
"4107","35","34","1","383","Stability and dynamic analysis of partially cracked thin orthotropic microplates under thermal environment: an analytical approach","Soni S., Jain N.K., Joshi P.V.","Mechanics Based Design of Structures and Machines","Taylor and Francis Inc.","2020","10.1080/15397734.2019.1620613"
"4108","82","79","3","2186,2177,3701","Stability and vibration analysis of CNT-Reinforced functionally graded laminated composite cylindrical shell panels using semi-analytical approach","Chakraborty S., Dey T., Kumar R.","Composites Part B: Engineering","Elsevier Ltd","2019","10.1016/j.compositesb.2018.12.051"
"4109","42","40","2","2654,2642","Stability of laminated composite and sandwich FGM shells using a novel isogeometric finite strip method","Shahmohammadi M.A., Azhari M., Saadatpour M.M., Sarrami-Foroushani S.","Engineering Computations (Swansea, Wales)","Emerald Group Publishing Ltd.","2019","10.1108/EC-06-2019-0246"
"4110","50","50","0","","Stability of laminated composite and sandwich beams by a Reddy-type higher-order zig-zag theory","Zhen W., Yang C., Zhang H., Zheng X.","Mechanics of Advanced Materials and Structures","Taylor and Francis Inc.","2019","10.1080/15376494.2018.1444228"
"4111","37","36","1","2254","Stability of toroidal shell segments at variation of a deflection angle","Bakusov P.A., Semenov A.A.","PNRPU Mechanics Bulletin","Perm National Research Polytechnic University","2017","10.15593/perm.mech/2017.3.02"
"4112","41","41","0","","Stability of twin circular tunnels in cohesive-frictional soil using the node-based smoothed finite element method (NS-FEM)","Vo T.M., Nguyen T.M., Chau A.N., Nguyen H.C.","Journal of Vibroengineering","Vibromechanika","2017","10.21595/jve.2016.17896"
"4113","44","44","0","","Stability, thermal conductivity and supercooling behavior of novel β-CD-TiO2-Ag cooling medium-based nanofluids for eco-friendly cold thermal energy storage","Li W., Wang Y., Zou C.","Journal of Cleaner Production","Elsevier Ltd","2020","10.1016/j.jclepro.2020.121162"
"4114","56","56","0","","Stable halogen 2D materials: The case of iodine and astatine","Zhang X., Liu Y., Huang Q.","Journal of Physics Condensed Matter","Institute of Physics Publishing","2020","10.1088/1361-648X/ab87cf"
"4115","19","19","0","","Stacking sequence optimization for maximum fundamental frequency of simply supported antisymmetric laminated composite plates using Teaching–learning-based Optimization","Topal U., Dede T., Öztürk H.T.","KSCE Journal of Civil Engineering","Springer Verlag","2017","10.1007/s12205-017-0076-1"
"4116","50","48","1","3138,3139","Stagnation point flow with time-dependent bionanofluid past a sheet: Richardson extrapolation technique","Naganthran K., Md Basir M.F., Alharbi S.O., Nazar R., Alwatban A.M., Tlili I.","Processes","MDPI AG","2019","10.3390/pr7100722"
"4117","49","48","1","4574","Standard and boundary layer perturbation approaches to predict nonlinear axisymmetric behavior of cylindrical shells","Fallah F., Taati E., Asghari M., Reddy J.N.","Composite Structures","Elsevier Ltd","2018","10.1016/j.compstruct.2018.07.107"
"4118","88","87","1","3738","State of the Art Survey of Deep Learning and Machine Learning Models for Smart Cities and Urban Sustainability","Nosratabadi S., Mosavi A., Keivani R., Ardabili S., Aram F.","Lecture Notes in Networks and Systems","Springer","2020","10.1007/978-3-030-36841-8_22"
"4119","275","275","0","","State-of-the-art heat transfer fluids for parabolic trough collector","Krishna Y., Faizal M., Saidur R., Ng K.C., Aslfattahi N.","International Journal of Heat and Mass Transfer","Elsevier Ltd","2020","10.1016/j.ijheatmasstransfer.2020.119541"
"4120","59","58","1","2938","State-of-the-art modeling permeability of the heterogeneous carbonate oil reservoirs using robust computational approaches","Mahdaviara M., Rostami A., Shahbazi K.","Fuel","Elsevier Ltd","2020","10.1016/j.fuel.2020.117389"
"4121","121","118","3","3625,1443,3531","State-of-the-art of solar thermal power plants - A review","Siva Reddy V., Kaushik S.C., Ranjan K.R., Tyagi S.K.","Renewable and Sustainable Energy Reviews","Elsevier Ltd","2013","10.1016/j.rser.2013.06.037"
"4122","32","29","3","4031,3250,867","Static analysis of FG-CNTRC plates using C0-HSDT","Nguyen-Quoc T., Nguyen-Hoai S., Mai-Duc D.","Lecture Notes in Mechanical Engineering","Pleiades Publishing","2018","10.1007/978-981-10-7149-2_24"
"4123","65","65","0","","Static analysis of corrugated panels using homogenization models and a cell-based smoothed mindlin plate element (CS-MIN3)","Nguyen-Minh N., Tran-Van N., Bui-Xuan T., Nguyen-Thoi T.","Frontiers of Structural and Civil Engineering","Higher Education Press","2019","10.1007/s11709-017-0456-0"
"4124","32","32","0","","Static analysis of functionally graded sandwich plates with porosities","Keddouri A., Hadji L., Tounsi A.","Advances in Materials Research (South Korea)","Techno-Press","2019","10.12989/amr.2019.8.3.155"
"4125","43","43","0","","Static analysis of laminated piezo-magnetic size-dependent curved beam based on modified couple stress theory","Arefi M.","Structural Engineering and Mechanics","Techno Press","2019","10.12989/sem.2019.69.2.145"
"4126","16","16","0","","Static analysis of thin plates: Bare and stiffened","Isanaka B.R., Abdul Akbar M., Kushvaha V., Mishra B.P.","INCAS Bulletin","INCAS - National Institute for Aerospace Research Elie Carafoli","2020","10.13111/2066-8201.2020.12.1.7"
"4127","31","31","0","","Static and Dynamic Analyses of Mindlin Plates Resting on Viscoelastic Foundation by Using Moving Element Method","Luong V.H., Cao T.N.T., Reddy J.N., Ang K.K., Tran M.T., Dai J.","International Journal of Structural Stability and Dynamics","World Scientific Publishing Co. Pte Ltd","2018","10.1142/S0219455418501316"
"4128","64","61","3","121,888,2213","Static and Free Vibration Analyses of Functionally Graded Carbon Nanotube Reinforced Composite Plates using CS-DSG3","Truong-Thi T., Vo-Duy T., Ho-Huu V., Nguyen-Thoi T.","International Journal of Computational Methods","World Scientific Publishing Co. Pte Ltd","2020","10.1142/S0219876218501335"
"4129","74","73","1","212","Static and Free Vibration Analysis of Stiffened Flat Shells by a Cell-Based Smoothed Discrete Shear Gap Method (CS-FEM-DSG3) Using Three-Node Triangular Elements","Nguyen-Thoi T., Bui-Xuan T., Liu G.R., Vo-Duy T.","International Journal of Computational Methods","World Scientific Publishing Co. Pte Ltd","2018","10.1142/S0219876218500561"
"4130","24","21","3","1013,562,990","Static and Free Vibration Analysis of Stiffened Plates by ES-FEM with Triangular Element [基于光滑有限元的加筋板静力自由振动和声辐射分析]","Xiao Q., Zhu R.","Ship Building of China","Editorial office of Ship Building of China","2019",""
"4131","82","74","8","2191,1752,4785,2208,2353,3226,1101,2625","Static and dynamic analyses of FG-GNPs reinforced porous nanocomposite annular micro-plates based on MSGT","Arshid E., Amir S., Loghman A.","International Journal of Mechanical Sciences","Elsevier Ltd","2020","10.1016/j.ijmecsci.2020.105656"
"4132","44","44","0","","Static and dynamic analyses of isogeometric curvilinearly stiffened plates","Qin X.C., Dong C.Y., Wang F., Qu X.Y.","Applied Mathematical Modelling","Elsevier Inc.","2017","10.1016/j.apm.2016.12.035"
"4133","42","42","0","","Static and dynamic analyses of laminated plates using a layerwise theory and a radial basis function finite element method","Xing Y.F., Wu Y., Liu B., Ferreira A.J.M., Neves A.M.A.","Composite Structures","Elsevier Ltd","2017","10.1016/j.compstruct.2017.02.092"
"4134","47","46","1","4162","Static and dynamic analysis of sandwich panel with spatially varying non-Gaussian properties","Mukherjee S., Sekhar B.R., Gopalakrishnan S., Ganguli R.","Journal of Sandwich Structures and Materials","SAGE Publications Ltd","2018","10.1177/1099636218793979"
"4135","55","55","0","","Static and dynamic fracture analysis of 3D cracked orthotropic shells using XFEM method","Zarrinzadeh H., Kabir M.Z., Varvani-Farahani A.","Theoretical and Applied Fracture Mechanics","Elsevier B.V.","2020","10.1016/j.tafmec.2020.102648"
"4136","57","57","0","","Static and dynamic response analysis of functionally graded material plates with damage","Li D.H., Yang X., Qian R.L., Xu D.","Mechanics of Advanced Materials and Structures","Taylor and Francis Inc.","2020","10.1080/15376494.2018.1459974"
"4137","49","41","8","1101,391,628,887,2661,2466,2261,4639","Static and free vibration analyses of functionally graded porous variable-thickness plates using an edge-based smoothed finite element method","Tran T.T., Pham Q.-H., Nguyen-Thoi T.","Defence Technology","China Ordnance Society","2020","10.1016/j.dt.2020.06.001"
"4138","68","66","2","870,3150","Static and free vibration analyses of multilayered plates by a higher-order shear and normal deformation theory and isogeometric analysis","Tran L.V., Kim S.-E.","Thin-Walled Structures","Elsevier Ltd","2018","10.1016/j.tws.2018.06.013"
"4139","35","35","0","","Static and free vibration analysis of cross-ply laminated plates using the Reissner-mixed variational theorem and the cell based smoothed finite element method","Pramod A.L.N., Natarajan S., Ferreira A.J.M., Carrera E., Cinefra M.","European Journal of Mechanics, A/Solids","Elsevier Ltd","2017","10.1016/j.euromechsol.2016.10.006"
"4140","33","33","0","","Static and free vibration analysis of functionally graded shells using a cell-based smoothed discrete shear gap method and triangular elements","Le-Xuan D., Pham-Quoc H., Tran-The V., Nguyen-Van N.","Lecture Notes in Mechanical Engineering","Pleiades Publishing","2018","10.1007/978-981-10-7149-2_26"
"4141","26","25","1","562","Static and free vibration analysis of stiffened plates by ES-FEM using triangular element [基于边光滑有限元法的加筋板静力和自由振动分析]","You X.-Y., Zheng W.-C., Li W., Chai Y.-B., Cheng C.","Jisuan Lixue Xuebao/Chinese Journal of Computational Mechanics","Editorial Office of Chinese Journal of Computational Mechanics","2018","10.7511/jslx20161028002"
"4142","20","19","1","867","Static and transient analysis of sandwich composite plates using isogeometric analysis","Gupta A., Ghosh A.","Mechanics of Advanced Materials and Structures","Taylor and Francis Inc.","2019","10.1080/15376494.2018.1534169"
"4143","58","58","0","","Static bending deflection and free vibration analysis of moderate thick symmetric laminated plates using multidimensional wave digital filters","Tseng C.-H.","Mechanical Systems and Signal Processing","Academic Press","2018","10.1016/j.ymssp.2017.12.044"
"4144","39","39","0","","Static limit analysis of reinforced soil structures by a simple finite element and second-order cone programming","Cavalcante E.L.B., Neto E.L., Sodré D.J.R.","Latin American Journal of Solids and Structures","Brazilian Association of Computational Mechanics","2017","10.1590/1679-78253745"
"4145","68","55","12","1569,1568,1720,3236,1291,4569,1767,864,4813,4303,4101,1401,863","Static performance of agglomerated CNT-reinforced porous plates bonded with piezoceramic faces","Moradi-Dastjerdi R., Behdinan K., Safaei B., Qin Z.","International Journal of Mechanical Sciences","Elsevier Ltd","2020","10.1016/j.ijmecsci.2020.105966"
"4146","49","45","4","2028,3473,4026,2959","Static response of sandwich plates with FG core and piezoelectric faces under thermo-electro-mechanical loads and resting on elastic foundations","Zenkour A.M., Alghanmi R.A.","Thin-Walled Structures","Elsevier Ltd","2020","10.1016/j.tws.2020.107025"
"4147","46","46","0","","Static, free vibration, and buckling analysis of plates using strain-based Reissner–Mindlin elements","Belounar A., Benmebarek S., Houhou M.N., Belounar L.","International Journal of Advanced Structural Engineering","SpringerOpen","2019","10.1007/s40091-019-0226-4"
"4148","26","26","0","","Statics and buckling problems of aircraft structurally-anisotropic composite panels with the influence of production technology","Gavva L.M., Endogur A.I.","IOP Conference Series: Materials Science and Engineering","Institute of Physics Publishing","2018","10.1088/1757-899X/312/1/012009"
"4149","45","43","2","2762,2772","Stationary convection in a binary mixture of ferrofluids in a porous medium","Hounsou P., Monwanou A.V., Miwadinou C.H., Chabi Orou J.B.","Fluid Dynamics Research","Institute of Physics Publishing","2020","10.1088/1873-7005/ab8809"
"4150","62","61","1","3162","Stationary gas turbines: An exergetic approach to part load operation","Moliere M., Jaubert J.-N., Privat R., Schuhler T.","Oil and Gas Science and Technology","Editions Technip","2020","10.2516/ogst/2020001"
"4151","60","55","5","3988,2429,2384,2957,3769","Steady flow and heat transfer of the power-law fluid between two stretchable rotating disks with non-uniform heat source/sink","Usman, Lin P., Ghaffari A.","Journal of Thermal Analysis and Calorimetry","Springer Netherlands","2020","10.1007/s10973-020-10142-x"
"4152","26","26","0","","Steady heat transfer analysis of orthotropic structure based on Element-Free Galerkin method","Zhang J.-P., Zhou G.-Q., Gong S.-G., Wang S.-S., Hu S.","International Journal of Thermal Sciences","Elsevier Masson SAS","2017","10.1016/j.ijthermalsci.2017.06.024"
"4153","41","40","1","910","Steady incompressible magnetohydrodynamics Casson boundary layer flow past a permeable vertical and exponentially shrinking sheet: A stability analysis","Lund L.A., Omar Z., Khan I.","Heat Transfer - Asian Research","John Wiley and Sons Inc.","2019","10.1002/htj.21554"
"4154","93","81","12","2331,2406,3995,3366,4730,2500,2871,3353,2070,4492,3984,2318","Steady laminar natural convection of nanofluid under the impact of magnetic field on two-dimensional cavity with radiation","Saleem S., Nguyen-Thoi T., Shafee A., Li Z., Bonyah E., Khan A.U., Shehzadi I.","AIP Advances","American Institute of Physics Inc.","2019","10.1063/1.5109192"
"4155","66","59","6","549,169,3068,754,761,596,849","Steady-state characteristics of the coupled magneto-electro-thermo-elastic multi-physical system based on cell-based smoothed finite element method","Zhou L., Li M., Ma Z., Ren S., Li X., Tang J., Ma Z.","Composite Structures","Elsevier Ltd","2019","10.1016/j.compstruct.2019.03.060"
"4156","24","24","0","","Steel statically uncertain transverse frames probabilistic calculation","Chichulina K., Chichulin V.","International Journal of Engineering and Technology(UAE)","Science Publishing Corporation Inc","2018","10.14419/ijet.v7i3.2.14379"
"4157","32","31","1","910","Stefan Blowing and Slip Effects on Unsteady Nanofluid Transport Past a Shrinking Sheet: Multiple Solutions","Dero S., Uddin M.J., Rohni A.M.","Heat Transfer - Asian Research","John Wiley and Sons Inc.","2019","10.1002/htj.21470"
"4158","116","105","10","954,4236,4443,4556,889,1494,3625,426,3617,3049,156","Stirling Engines","Gheith R., Hachem H., Aloui F., Ben Nasrallah S.","Comprehensive Energy Systems","Elsevier Inc.","2018","10.1016/B978-0-12-809597-3.00409-0"
"4159","132","127","4","4005,426,1465,1443,889","Stirling cycle engines for recovering low and moderate temperature heat: A review","Wang K., Sanders S.R., Dubey S., Choo F.H., Duan F.","Renewable and Sustainable Energy Reviews","Elsevier Ltd","2016","10.1016/j.rser.2016.04.031"
"4160","6","5","1","3625","Stirling engine regenerator based on lattice structures manufactured by selective laser melting","Mancisidor A.M., Gil E., Garciandia F., Sebastian M.S., Lizaso O., Escubi M.","Procedia CIRP","Elsevier B.V.","2018","10.1016/j.procir.2018.08.033"
"4161","22","22","0","","Stochastic Vibration Analysis of Functionally Graded Plates with Material Randomness Using Cell-Based Smoothed Discrete Shear Gap Method","Kumaraian M.L., Rebbagondla J., Mathew T.V., Natarajan S.","International Journal of Structural Stability and Dynamics","World Scientific Publishing Co. Pte Ltd","2019","10.1142/S0219455419500378"
"4162","62","62","0","","Stochastic analysis of the fracture toughness of polymeric nanoparticle composites using polynomial chaos expansions","Hamdia K.M., Silani M., Zhuang X., He P., Rabczuk T.","International Journal of Fracture","Springer Netherlands","2017","10.1007/s10704-017-0210-6"
"4163","54","54","0","","Stochastic buckling behaviour of laminated composite structures with uncertain material properties","Nguyen H.X., Duy Hien T., Lee J., Nguyen-Xuan H.","Aerospace Science and Technology","Elsevier Masson SAS","2017","10.1016/j.ast.2017.01.028"
"4164","37","37","0","","Stochastic critical stress intensity factor response of single edge notched laminated composite plate using displacement correlation method","Lal A., Mulani S.B., Kapania R.K.","Mechanics of Advanced Materials and Structures","Taylor and Francis Inc.","2020","10.1080/15376494.2018.1506067"
"4165","81","77","4","3715,1477,318,1501","Stochastic fractal search-tuned ANFIS model to predict blast-induced air overpressure","Ye J., Dalle J., Nezami R., Hasanipanah M., Armaghani D.J.","Engineering with Computers","Springer","2020","10.1007/s00366-020-01085-w"
"4166","82","82","0","","Stochastic fracture analysis of laminated composite plate with arbitrary cracks using X-FEM","Lal A., Palekar S.P.","International Journal of Mechanics and Materials in Design","Springer Netherlands","2017","10.1007/s10999-015-9325-y"
"4167","42","39","3","199,242,206","Stochastic interval analysis for structural natural frequencies based on stochastic hybrid perturbation edge-based smoothing finite element method","Wu F., Hu M., Chen K., Yao L.Y., Ju Z.G., Sun X.","Engineering Analysis with Boundary Elements","Elsevier Ltd","2019","10.1016/j.enganabound.2019.01.020"
"4168","62","60","2","1551,4162","Stochastic material point method for analysis in non-linear dynamics of metals","Chen W., Shi Y., Ma J., Xu C., Lu S., Xu X.","Metals","MDPI AG","2019","10.3390/met9010107"
"4169","53","53","0","","Stochastic micromechanical predictions for the probabilistic behavior of saturated concrete repaired by the electrochemical deposition method","Chen Q., Zhu H., Ju J.W., Yan Z., Jiang Z., Chen B., Wang Y., Fan Z.","International Journal of Damage Mechanics","SAGE Publications Ltd","2020","10.1177/1056789519860805"
"4170","52","52","0","","Stochastic micromechanics-based investigations for the damage healing of unsaturated concrete using electrochemical deposition method","Chen Q., Zhu H.H., Ju J.W., Li H.X., Jiang Z.W., Yan Z.G.","International Journal of Damage Mechanics","SAGE Publications Ltd","2020","10.1177/1056789520925868"
"4171","56","56","0","","Stochastic modelling of nanofluids using the fast Boundary-Domain Integral Method","Ravnik J., Šušnjara A., Tibaut J., Poljak D., Cvetković M.","Engineering Analysis with Boundary Elements","Elsevier Ltd","2019","10.1016/j.enganabound.2019.07.014"
"4172","37","37","0","","Stochastic multi-scale modeling of randomly grown CNTs on carbon fiber","Rafiee R., Ghorbanhosseini A.","Mechanics of Materials","Elsevier B.V.","2017","10.1016/j.mechmat.2017.01.001"
"4173","66","65","1","4390","Stochastic multiscale modeling of heat conductivity of Polymeric clay nanocomposites","Liu B., Vu-Bac N., Zhuang X., Rabczuk T.","Mechanics of Materials","Elsevier B.V.","2020","10.1016/j.mechmat.2019.103280"
"4174","61","60","1","212","Stochastic optimization of graphite-flax/epoxy hybrid laminated composite for maximum fundamental frequency and minimum cost","Savran M., Aydin L.","Engineering Structures","Elsevier Ltd","2018","10.1016/j.engstruct.2018.07.043"
"4175","66","58","7","795,554,50,479,4419,548,1342,2345","Stochastic stable node-based smoothed finite element method for uncertainty and reliability analysis of thermo-mechanical problems","Wang B., Cai Y., Li Z., Ding C., Yang T., Cui X.","Engineering Analysis with Boundary Elements","Elsevier Ltd","2020","10.1016/j.enganabound.2020.02.002"
"4176","79","79","0","","Stone–Wales defect interaction in quasistatically deformed 2D silica","Ebrahem F., Bamer F., Markert B.","Journal of Materials Science","Springer","2020","10.1007/s10853-019-04274-1"
"4177","33","33","0","","Storage and damping optimization in hysteretic multilayer nanocomposites","Formica G., Milicchio F., Lacarbonara W.","International Journal for Multiscale Computational Engineering","Begell House Inc.","2020","10.1615/IntJMultCompEng.2020032669"
"4178","23","23","0","","Strain based method for monitoring the health state of composite structures","Grassia L., Iannone M., Califano A., D'Amore A.","Composites Part B: Engineering","Elsevier Ltd","2019","10.1016/j.compositesb.2019.107253"
"4179","33","33","0","","Strain engineering of the lattice vibration modes in monolayer black phosphorus","Zhang L., Li H., Sun C., Ouyang G.","Journal of Raman Spectroscopy","John Wiley and Sons Ltd","2020","10.1002/jrs.5766"
